35 45
111 686 628 521 974 444 STD(31,45:32,45) 595 80 801 540 902 SUM(2,29:2,33) STD(13,15:15,15) 126 159 125 516 410 836 811 AVG(12,32:15,39) 149 210 15 555 885 820 322 AVG(29,23:29,25) STD(10,25:11,25) 168 SUM(15,33:18,40) 993 735 768 513 903 STD(8,31:9,31) SUM(32,45:34,45) 187 AVG(14,22:19,23) 934 380 964
462 980 100 STD(25,27:26,31) 676 545 AVG(4,30:12,30) SUM(25,10:26,10) 362 SUM(16,6:21,6) 663 93 565 SUM(7,13:7,14) 672 927 STD(16,38:17,38) SUM(35,22:35,23) 583 112 75 329 609 SUM(22,31:24,38) SUM(19,34:19,40) 674 563 STD(2,41:2,43) 736 738 935 272 718 139 647 SUM(27,43:27,44) 565 AVG(23,20:23,22) 278 STD(23,21:24,23) 682 STD(3,28:4,30) 872 379 244
SUM(26,11:29,12) SUM(17,14:21,15) 711 786 SUM(6,5:6,21) 960 197 AVG(21,26:21,28) 486 AVG(10,16:10,34) 534 837 374 545 401 793 980 522 STD(10,31:13,33) 774 468 STD(8,39:12,39) STD(5,29:5,30) AVG(20,7:20,18) 204 960 936 321 SUM(11,5:11,11) 189 762 AVG(31,4:32,4) 571 841 802 416 634 577 AVG(34,25:34,33) 294 247 SUM(32,27:34,28) 71 953 568
53 332 SUM(2,27:12,28) 458 329 345 963 177 889 646 979 STD(17,7:17,8) AVG(9,44:16,44) 68 STD(17,40:17,44) 720 376 108 706 9 570 827 26 128 10 885 STD(11,15:30,16) 758 505 557 AVG(27,28:28,38) 181 348 862 950 630 729 SUM(12,11:14,11) 747 136 STD(11,6:13,6) STD(27,25:29,26) 276 367 815
927 20 142 SUM(13,11:14,18) SUM(6,21:10,24) 935 93 AVG(16,23:16,35) 30 STD(34,30:34,44) 804 247 213 350 702 683 671 STD(2,28:32,31) 314 511 AVG(1,33:16,39) SUM(11,39:13,41) STD(5,5:5,6) 585 379 STD(12,18:12,24) 108 57 SUM(18,32:26,32) 983 104 AVG(1,41:2,41) 578 343 885 482 723 650 722 296 434 827 SUM(15,9:15,12) 427 STD(17,12:22,15)
286 STD(11,22:20,23) 971 896 STD(14,33:34,33) 191 295 760 328 SUM(34,5:35,6) SUM(15,24:17,24) SUM(9,11:9,31) AVG(23,4:23,38) SUM(13,17:14,18) 756 760 154 SUM(32,27:35,29) 981 759 STD(10,40:11,40) 484 809 120 AVG(26,35:26,36) 748 976 848 807 628 319 313 818 SUM(1,41:13,41) STD(28,32:28,36) AVG(27,44:27,45) 736 483 SUM(29,41:29,43) 362 780 130 131 279 464
260 AVG(23,1:23,6) 958 711 366 94 707 SUM(17,38:17,44) 559 869 945 735 SUM(20,17:23,18) 962 718 396 759 497 113 114 67 STD(20,30:21,30) SUM(32,37:34,37) 414 AVG(8,11:8,21) 30 STD(18,9:20,11) 728 STD(8,23:11,26) SUM(2,12:3,13) 709 AVG(29,39:35,39) 118 956 137 69 STD(6,27:12,29) 731 352 541 279 854 SUM(32,35:32,36) 892 STD(15,38:16,38)
SUM(1,4:12,4) 287 973 AVG(12,6:14,7) 47 984 615 SUM(20,7:20,41) 690 924 876 STD(13,30:15,30) STD(26,12:29,12) 279 645 997 496 71 834 337 882 479 655 999 AVG(6,28:6,39) STD(27,41:28,41) STD(5,28:15,29) 555 AVG(10,6:13,6) 360 405 638 359 637 515 100 123 554 49 SUM(2,43:2,44) 810 669 865 648 577
964 586 232 583 AVG(23,30:28,31) 488 314 SUM(9,4:9,5) 732 1000 SUM(27,32:27,33) 444 1000 849 325 32 STD(22,28:27,28) 459 680 120 503 405 409 285 652 42 497 772 AVG(28,35:33,36) 485 217 640 129 710 55 SUM(26,30:27,30) 683 404 786 839 767 358 STD(30,7:32,10) 862 403
360 892 454 278 349 STD(9,15:12,15) 63 AVG(21,4:21,10) 179 STD(32,31:32,35) 934 617 704 553 136 791 433 755 222 155 950 420 764 45 545 102 124 85 878 192 120 110 1 266 STD(13,7:14,7) 658 388 664 STD(26,37:26,41) 521 152 826 STD(6,10:17,11) 93 286
479 976 363 725 AVG(23,17:23,18) 729 905 129 216 520 364 69 SUM(20,16:20,29) 587 607 AVG(2,34:2,44) AVG(1,18:2,18) 96 7 950 AVG(31,11:35,11) 979 844 80 689 439 591 143 STD(16,43:16,45) 702 264 934 945 AVG(8,20:8,44) SUM(9,18:11,18) SUM(1,28:14,30) 51 926 631 113 312 STD(10,4:11,5) STD(7,22:9,22) 524 495
SUM(17,39:17,42) 85 STD(4,17:4,21) 70 AVG(31,39:34,39) 371 815 AVG(3,29:4,31) 308 SUM(8,21:9,25) 796 291 157 845 928 SUM(33,24:33,29) 150 436 294 SUM(7,6:10,17) 76 21 154 AVG(22,13:26,13) 424 AVG(19,23:21,23) 357 SUM(20,19:21,20) 271 STD(8,14:9,18) 815 373 STD(20,26:23,26) 146 SUM(17,9:20,23) 235 STD(29,3:33,3) AVG(28,28:33,28) 399 516 799 245 798 SUM(32,26:34,29) SUM(16,3:16,11)
170 780 560 301 738 492 341 AVG(19,7:19,12) 945 246 SUM(1,15:1,19) 279 413 690 SUM(21,22:26,25) SUM(21,25:21,30) 696 729 566 827 926 653 902 768 770 329 STD(31,34:32,39) 466 654 AVG(4,40:4,42) 255 AVG(31,45:33,45) 970 289 AVG(34,25:34,28) 151 23 AVG(26,36:26,39) 147 SUM(18,38:19,38) SUM(22,11:22,13) 285 STD(20,4:21,41) AVG(18,1:18,40) 304
543 56 349 512 65 839 SUM(1,13:1,18) 63 945 692 SUM(1,25:9,25) 5 228 SUM(16,22:16,26) 843 STD(28,39:31,39) 736 205 AVG(28,1:33,1) 155 336 450 STD(21,1:21,4) 447 SUM(20,2:29,4) AVG(34,38:34,44) 59 301 845 661 STD(10,41:10,43) 67 934 614 13 465 SUM(9,8:13,9) 656 AVG(30,17:31,18) 671 399 AVG(22,2:29,2) AVG(17,6:17,8) 83 383
536 8 969 74 STD(5,33:29,34) SUM(19,3:20,4) 784 368 AVG(18,27:18,45) 243 100 7 785 267 993 AVG(13,25:13,39) 349 857 109 STD(29,7:29,11) SUM(11,24:11,25) 511 378 560 AVG(24,3:26,3) STD(10,19:14,29) 103 AVG(5,17:5,18) 553 488 72 784 971 947 491 744 AVG(14,6:14,8) 850 STD(22,13:26,23) 869 643 758 STD(26,19:26,28) 802 666
32 797 AVG(8,31:9,31) 15 STD(4,18:4,19) 260 567 AVG(29,39:29,44) STD(11,20:33,26) 681 336 450 836 1 SUM(21,37:21,38) STD(27,40:29,40) 1 SUM(31,42:31,45) 591 492 STD(27,1:29,1) 78 950 SUM(26,13:28,15) 881 SUM(16,22:16,43) 105 STD(5,20:5,21) 264 34 140 160 605 AVG(9,33:17,33) 635 74 474 STD(4,15:5,15) 598 716 STD(21,1:21,5) AVG(1,29:15,29) STD(1,6:2,7) 228 STD(28,23:31,26)
SUM(28,9:30,9) 389 855 584 SUM(13,6:14,6) 143 370 SUM(4,29:4,30) 814 SUM(20,8:24,9) 865 431 639 96 365 115 957 STD(34,27:34,31) 42 816 SUM(31,17:33,18) AVG(17,38:17,43) STD(6,16:6,45) 764 665 880 410 844 STD(31,35:34,44) 675 120 235 286 STD(29,40:29,43) SUM(16,4:17,4) 515 267 16 98 724 376 427 542 945 228
885 313 331 654 737 651 960 280 829 AVG(23,19:27,21) 112 92 900 200 51 SUM(4,8:4,11) 362 STD(8,39:8,40) AVG(27,4:32,5) STD(4,17:5,20) 78 519 625 779 STD(10,30:12,33) STD(11,43:12,43) 133 216 SUM(13,38:18,43) SUM(18,39:22,39) STD(34,18:34,22) 615 244 670 388 463 645 788 764 848 961 770 240 862 932
846 716 377 417 171 AVG(7,14:12,28) 648 751 119 313 605 AVG(24,40:25,40) 886 668 856 392 828 AVG(11,6:21,6) 792 548 171 246 396 783 971 615 STD(20,4:22,18) 336 554 728 661 421 98 AVG(8,7:11,8) 542 839 AVG(13,34:14,37) 522 141 255 SUM(29,2:29,5) 18 29 168 845
817 59 237 871 STD(14,10:15,10) 80 375 487 515 623 STD(28,33:28,37) 82 AVG(24,40:32,41) 239 31 STD(20,9:21,11) 365 247 SUM(3,33:3,35) 57 SUM(4,6:14,21) 870 299 107 587 SUM(33,36:34,37) 627 351 662 148 411 SUM(7,8:9,8) 27 303 STD(16,36:16,38) 438 37 70 37 STD(6,6:10,7) 270 SUM(2,36:11,36) 925 SUM(15,31:20,35) SUM(2,9:2,10)
276 SUM(9,43:14,44) 446 243 739 558 994 158 62 AVG(9,11:11,11) 825 889 AVG(13,28:15,28) 545 108 45 129 707 515 782 837 287 319 57 SUM(24,32:25,32) 595 275 108 AVG(2,38:2,44) 126 AVG(7,22:8,27) AVG(16,25:16,27) 179 AVG(11,10:11,14) 609 58 AVG(1,6:1,7) 348 709 523 SUM(22,26:23,26) 350 801 74 364
SUM(20,6:21,9) 596 STD(2,20:3,22) 61 3 774 349 22 SUM(34,5:34,6) SUM(23,16:23,26) AVG(5,43:6,43) AVG(13,37:14,41) STD(20,25:20,39) 389 STD(20,41:26,41) 413 738 551 453 481 816 SUM(10,15:16,15) 568 AVG(8,22:10,28) 417 659 21 182 244 657 953 15 783 248 343 402 294 478 564 570 114 370 870 519 333
121 958 AVG(21,12:22,12) STD(16,22:16,27) SUM(11,19:11,36) 614 940 761 846 AVG(2,30:7,32) 718 485 SUM(12,9:17,9) 680 AVG(30,8:30,10) 188 718 902 632 705 770 AVG(7,3:13,5) 162 154 58 10 748 SUM(34,39:34,40) 755 SUM(7,38:13,38) 566 865 564 8 121 390 906 118 96 AVG(10,42:11,44) 253 512 STD(26,28:30,28) 565 146
934 328 SUM(27,41:29,45) SUM(10,19:12,31) 516 315 778 611 789 359 928 STD(3,18:4,18) 808 965 SUM(1,15:1,17) 801 379 319 820 SUM(34,27:35,30) SUM(8,28:11,28) SUM(18,22:20,24) 816 AVG(19,15:27,22) 605 919 813 530 221 206 558 462 160 647 705 574 472 917 59 809 354 25 613 666 970
896 4 STD(8,30:8,31) AVG(13,7:13,31) 417 227 485 SUM(6,5:12,11) 97 334 859 AVG(16,36:23,41) 280 741 579 715 55 STD(30,17:31,18) 256 857 188 863 799 AVG(16,19:16,25) 447 81 606 AVG(12,21:13,21) 623 701 SUM(20,17:20,36) 252 STD(6,34:7,36) SUM(33,24:33,25) 636 STD(12,6:22,6) STD(32,32:34,38) 620 STD(26,41:30,41) 490 STD(18,38:24,39) 469 AVG(24,28:24,29) 191 478
